23.60,23.60,23.50,23.57,20.80,21.00,19.30,20.87,10/22/2018 03:07
0,0,0,0,0,0,0,0,10/22/2018 03:07
23.60,23.60,23.50,23.57,20.70,21.00,19.30,20.86,10/22/2018 03:07
23.60,23.60,23.50,23.57,20.80,21.00,19.30,20.86,10/22/2018 03:08
0,0,0,0,0,0,0,0,10/22/2018 03:08
23.60,23.60,23.50,23.57,20.80,21.00,19.30,20.86,10/22/2018 03:08
0,0,0,0,0,0,0,0,10/22/2018 03:08
23.60,23.60,23.50,23.57,20.80,21.00,19.30,20.86,10/22/2018 03:08
23.60,23.60,23.50,23.57,20.80,21.00,19.30,20.86,10/22/2018 03:08
23.60,23.60,23.50,23.57,20.80,21.00,19.30,20.86,10/22/2018 03:08
23.60,23.60,23.50,23.57,20.80,21.00,19.30,20.86,10/22/2018 03:08
23.60,23.60,23.50,23.58,20.80,21.00,19.30,20.85,10/22/2018 03:08
23.60,23.60,23.50,23.58,20.80,21.00,19.30,20.85,10/22/2018 03:08
0,0,0,0,0,0,0,0,10/22/2018 03:08
0,0,0,0,0,0,0,0,10/22/2018 03:08
0,0,0,0,0,0,0,0,10/22/2018 03:09
23.60,23.60,23.50,23.58,20.70,21.00,19.30,20.85,10/22/2018 03:09
23.60,23.60,23.50,23.58,20.70,21.00,19.30,20.85,10/22/2018 03:09
23.60,23.60,23.50,23.58,20.50,21.00,19.30,20.84,10/22/2018 03:09
0,0,0,0,0,0,0,0,10/22/2018 03:09
23.60,23.60,23.50,23.58,20.70,21.00,19.30,20.84,10/22/2018 03:09
23.60,23.60,23.50,23.58,20.70,21.00,19.30,20.84,10/22/2018 03:09
0,0,0,0,0,0,0,0,10/22/2018 03:09
23.60,23.60,23.50,23.58,20.70,21.00,19.30,20.83,10/22/2018 03:09
23.60,23.60,23.50,23.58,20.70,21.00,19.30,20.83,10/22/2018 03:09
23.60,23.60,23.50,23.58,20.70,21.00,19.30,20.83,10/22/2018 03:09
23.60,23.60,23.50,23.58,20.70,21.00,19.30,20.83,10/22/2018 03:09
23.60,23.60,23.50,23.58,20.70,21.00,19.30,20.82,10/22/2018 03:10
23.60,23.60,23.50,23.58,20.70,21.00,19.30,20.82,10/22/2018 03:10
23.60,23.60,23.50,23.58,20.70,21.00,19.30,20.82,10/22/2018 03:10
0,0,0,0,0,0,0,0,10/22/2018 03:10
23.60,23.60,23.50,23.58,20.80,21.00,19.30,20.82,10/22/2018 03:10
23.60,23.60,23.50,23.58,20.80,21.00,19.30,20.82,10/22/2018 03:10
23.60,23.60,23.50,23.58,20.80,21.00,19.30,20.82,10/22/2018 03:10
23.60,23.60,23.50,23.58,20.80,21.00,19.30,20.82,10/22/2018 03:10
23.60,23.60,23.50,23.58,20.80,21.00,19.30,20.82,10/22/2018 03:10
23.60,23.60,23.50,23.58,20.80,21.00,19.30,20.82,10/22/2018 03:10
23.60,23.60,23.50,23.58,20.80,21.00,19.30,20.82,10/22/2018 03:10
23.60,23.60,23.50,23.58,20.80,21.00,19.30,20.82,10/22/2018 03:10
23.60,23.60,23.50,23.58,20.80,21.00,19.30,20.82,10/22/2018 03:11
0,0,0,0,0,0,0,0,10/22/2018 03:11
23.60,23.60,23.50,23.58,20.80,21.00,19.30,20.82,10/22/2018 03:11
23.60,23.60,23.50,23.58,20.70,21.00,19.30,20.82,10/22/2018 03:11
23.60,23.60,23.50,23.58,20.70,21.00,19.30,20.81,10/22/2018 03:11
23.60,23.60,23.50,23.58,20.70,21.00,19.30,20.81,10/22/2018 03:11
23.60,23.60,23.50,23.58,20.80,21.00,19.30,20.81,10/22/2018 03:11
23.60,23.60,23.50,23.58,20.80,21.00,19.30,20.81,10/22/2018 03:11
23.60,23.60,23.50,23.58,20.90,21.00,19.30,20.81,10/22/2018 03:11
23.60,23.60,23.50,23.58,20.90,21.00,19.30,20.81,10/22/2018 03:11
0,0,0,0,0,0,0,0,10/22/2018 03:11
23.60,23.60,23.50,23.58,20.90,21.00,19.30,20.82,10/22/2018 03:11
23.60,23.60,23.50,23.59,20.90,21.00,19.30,20.82,10/22/2018 03:12
23.60,23.60,23.50,23.59,20.90,21.00,19.30,20.82,10/22/2018 03:12
23.60,23.60,23.50,23.59,20.90,21.00,19.30,20.82,10/22/2018 03:12
0,0,0,0,0,0,0,0,10/22/2018 03:12
23.60,23.60,23.50,23.59,20.80,21.00,19.30,20.82,10/22/2018 03:12
23.60,23.60,23.50,23.59,20.80,21.00,19.30,20.82,10/22/2018 03:12
23.60,23.60,23.50,23.59,20.80,21.00,19.30,20.82,10/22/2018 03:12
23.60,23.60,23.50,23.59,20.70,21.00,19.30,20.82,10/22/2018 03:12
0,0,0,0,0,0,0,0,10/22/2018 03:12
0,0,0,0,0,0,0,0,10/22/2018 03:12
23.60,23.60,23.50,23.59,20.80,21.00,19.30,20.82,10/22/2018 03:12
23.60,23.60,23.50,23.59,20.70,21.00,19.30,20.81,10/22/2018 03:12
23.60,23.60,23.50,23.59,20.70,21.00,19.30,20.81,10/22/2018 03:13
23.60,23.60,23.50,23.59,20.70,21.00,19.30,20.81,10/22/2018 03:13
23.60,23.60,23.50,23.59,20.70,21.00,19.30,20.81,10/22/2018 03:13
0,0,0,0,0,0,0,0,10/22/2018 03:13
0,0,0,0,0,0,0,0,10/22/2018 03:13
0,0,0,0,0,0,0,0,10/22/2018 03:13
23.60,23.60,23.50,23.59,20.70,21.00,19.30,20.81,10/22/2018 03:13
23.60,23.60,23.50,23.59,20.50,21.00,19.30,20.81,10/22/2018 03:13
23.60,23.60,23.50,23.59,20.60,21.00,19.30,20.80,10/22/2018 03:13
23.60,23.60,23.60,23.60,20.70,20.70,20.70,20.70,10/22/2018 03:17
23.60,23.60,23.60,23.60,20.90,20.90,20.70,20.80,10/22/2018 03:18
23.60,23.60,23.60,23.60,20.90,20.90,20.70,20.83,10/22/2018 03:18
23.60,23.60,23.60,23.60,21.00,21.00,20.70,20.88,10/22/2018 03:18
23.60,23.60,23.60,23.60,20.90,21.00,20.70,20.88,10/22/2018 03:18
0,0,0,0,0,0,0,0,10/22/2018 03:18
0,0,0,0,0,0,0,0,10/22/2018 03:18
0,0,0,0,0,0,0,0,10/22/2018 03:18
23.60,23.60,23.60,23.60,20.90,21.00,20.70,20.88,10/22/2018 03:18
23.60,23.60,23.60,23.60,20.70,21.00,20.70,20.86,10/22/2018 03:18
23.60,23.60,23.60,23.60,20.90,21.00,20.70,20.86,10/22/2018 03:18
23.60,23.60,23.60,23.60,20.80,21.00,20.70,20.86,10/22/2018 03:18
0,0,0,0,0,0,0,0,10/22/2018 03:18
23.60,23.60,23.60,23.60,20.80,21.00,20.70,20.85,10/22/2018 03:19
23.60,23.60,23.60,23.60,20.80,21.00,20.70,20.85,10/22/2018 03:19
23.60,23.60,23.60,23.60,20.80,21.00,20.70,20.84,10/22/2018 03:19
23.60,23.60,23.60,23.60,20.80,21.00,20.70,20.84,10/22/2018 03:19
23.60,23.60,23.60,23.60,20.80,21.00,20.70,20.84,10/22/2018 03:19
23.60,23.60,23.60,23.60,20.80,21.00,20.70,20.83,10/22/2018 03:19
0,0,0,0,0,0,0,0,10/22/2018 03:19
23.60,23.60,23.60,23.60,20.90,20.90,20.90,20.90,10/22/2018 03:19
0,0,0,0,0,0,0,0,10/22/2018 03:20
23.60,23.60,23.60,23.60,20.80,20.90,20.80,20.85,10/22/2018 03:20
23.60,23.60,23.60,23.60,20.80,20.90,20.80,20.83,10/22/2018 03:20
23.60,23.60,23.60,23.60,20.80,20.90,20.80,20.82,10/22/2018 03:20
23.60,23.60,23.60,23.60,20.80,20.80,20.80,20.80,10/22/2018 03:20
0,0,0,0,0,0,0,0,10/22/2018 03:20
23.60,23.60,23.60,23.60,20.70,20.80,20.70,20.75,10/22/2018 03:20
0,0,0,0,0,0,0,0,10/22/2018 03:20
23.60,23.60,23.60,23.60,20.80,20.80,20.70,20.77,10/22/2018 03:20
23.60,23.60,23.60,23.60,20.80,20.80,20.70,20.77,10/22/2018 03:21
0,0,0,0,0,0,0,0,10/22/2018 03:21
0,0,0,0,0,0,0,0,10/22/2018 03:21
0,0,0,0,0,0,0,0,10/22/2018 03:21
23.60,23.60,23.60,23.60,20.90,20.90,20.70,20.80,10/22/2018 03:21
23.60,23.60,23.60,23.60,20.90,20.90,20.70,20.82,10/22/2018 03:21
23.60,23.60,23.60,23.60,20.80,20.90,20.70,20.81,10/22/2018 03:21
0,0,0,0,0,0,0,0,10/22/2018 03:21
23.60,23.60,23.60,23.60,20.80,20.90,20.70,20.81,10/22/2018 03:21
